btc_height,btc_hash,in_upstream,first_seen_chain
274626,000000000000000188bed36ce2520876f64a495c5c6900ac675e18db32a70462,yes,namecoin
274671,000000000000000082e171d0e55a49ac659db08b2147d2f721e31f971c351e50,yes,i0coin
274706,000000000000000184beced8e1f69bce59fe0605b9334eb14c600d34c8c8d81f,yes,namecoin
274825,00000000000000006298eb753578957a0a4020a10036a9f11d28318abec61795,yes,namecoin
274902,0000000000000001121276d443d442d2764dd458e38132bfc186be405b5ac05e,yes,
275020,00000000000000016c566cdd3e3a3bf4632ff23264df3d3c915921d4cd67bd02,yes,namecoin
275282,000000000000000057d3bbf9c517f733781a6d042c05b04a1b72c71a61b3720c,yes,
276376,000000000000000189494d6857cd8fd5230815af289cdcea06de198c8e9d82b2,no,
276821,0000000000000003707bbfed5173b020fbab4970ea98b79d788bfc0c6bd428d2,yes,i0coin
277080,0000000000000002a056bd5988c20c25e8b7667e9120efdcd6289cb81dc0d73f,yes,namecoin
277197,00000000000000030fdfd60f4a6062ef48e618795830c775602e6fc8ab663747,yes,namecoin
277312,000000000000000156eccd9b092b06f56b5163bde9c6655a32956268cfdedc84,yes,namecoin
277447,0000000000000001f5c894a980621497d67b686ec93ab95da683ecab98975d40,yes,
277595,000000000000000370f501bad48cdfb6a6713b9d51f692c5dbc90039a9d278e5,yes,namecoin
278098,0000000000000002c818efac6756d2b988d21b4f37934014b2ab9a7706dff543,yes,namecoin
278359,00000000000000014ca076a20ddf4d03c891e9e423964fb8e8894a77850a9c34,yes,
278484,00000000000000023822a955fbaac71efafb166b579848ba7bc8da39efa0dfa4,yes,
278608,0000000000000000745842f78b135f67518a3beeaccb3b88493abd53d97fde31,yes,namecoin
279015,0000000000000000c7a2966df511ce7de19c5e7ba1575c63f4905cce4f4f2cdc,yes,namecoin
279023,00000000000000017ea82db706dac473234512c3f585c58d8f58c87fb425887e,yes,
280096,0000000000000002d63a917734df2f299a236cd7e9b40353aec150920ba9688e,yes,
280248,00000000000000002230556507ef64f7075fe7a404198ee5af570349be45f7d8,yes,
280293,0000000000000001f223bf943387b23d907fa538f06537ba65f34b08aac74818,yes,namecoin
280312,00000000000000017d6e313a21057fb26490db92f2be07e1c21709303555adbb,no,
280562,0000000000000001274c36f80da51ca016c44c368368fb5129e94e6fbb21e1e3,yes,namecoin
281334,0000000000000001c76995c3416fdb3dcf5c9b85b0ff18f60eea9d3ccb3f59e1,yes,i0coin
281577,00000000000000020e14f90c4036355e6f4e3da3706f1120f06f3f031317a398,no,
281590,00000000000000023198e09f05e27b0441e1b29ed8e47544df37cd117688a0de,yes,
281626,000000000000000134ae6df18d6792dc72a06632d0d134b2fe9fdbacd1cb7619,yes,namecoin
281633,0000000000000000b614413beee558ba56835c230bb27bab951da5590e22cd37,yes,namecoin
281712,00000000000000014245a97e19599ba06affd1279915ee10189e4494609eb876,yes,
281729,0000000000000001e7f22d05c29df9eb3c58f32c573b28236c576021b8437304,no,
281801,0000000000000000a3148a8588903340bdad49e7e7c2d127c54389c252a05eeb,yes,
281849,0000000000000001bf7fb3fdddc6ebd6868be773694c67ee72eb80efc6d8620e,yes,
282325,00000000000000011ec4412adbd5990b8e286aa9150b55af3252a9f249812ac7,yes,i0coin
282537,0000000000000000209275309a7499ac03207fa747e806f0497fbebe582ba57c,yes,namecoin
282615,00000000000000012c3aae4b47c41c1c8ad710f28761ad22753634e0875a9947,yes,namecoin
282661,00000000000000007e6b1df40d73e373f9da523115cab7a3150093b3d1aefb12,yes,namecoin
282809,0000000000000001e38f76425ac1d12bc4a70c47b253dcb374902f36e893811c,yes,
282967,000000000000000106a20173094612d98a452b0b4e6556ad170c4bce3610ee58,no,i0coin
283106,00000000000000014bea269deccd15220a4ea600966bd9c97ea167974d576718,yes,namecoin
