chain,btc_header_hash,child_height,child_block_hash,child_block_time,verification,note
namecoin,00000000000001e7683bd230c9748890fa9149ba31cddfcdb1685787908fd5f5,38632,6eb5fe036b06832556c1a4987a82b30ecf7e2bb3c1a12e09698ebece9563c92f,1326885484,auxpow_parent_match,
namecoin,00000000000006a257c72524a70d6aeb56c0f1c7216f04dc3f237c41ff96dea0,38679,d429774ee4c5595b8c65197568ca7318d98a1d77656059c71dc9f0644b9930ef,1326918563,auxpow_parent_match,
namecoin,0000000000000b0d3300b680fe724150cc49071a71110f9b6eb94631a8d3445e,38934,54ac06a2915005b801a7f45b284d0f25c1f01c92951f29a4b787912fb92c09f0,1327080530,auxpow_parent_match,
namecoin,00000000000007ab9bcafa5a5305208216755b3c36a267c3b66b0174d98faef9,39004,2923c153fa9d3efffe823c32348ba0ce77be51d50bb866091a98fd1332559cf1,1327118693,auxpow_parent_match,
namecoin,0000000000000391c5e7307684d2e95f8eab514c7837146e615c8a9898ca2d1e,39179,e0120dc79f4c541288899d1e82e2b81b4f218c1fc84139e5be6c9e37f0897d14,1327222099,auxpow_parent_match,
namecoin,0000000000000be9d014466ddabc2ba3f8b673b61ff7b1e510a5cb1d59ad5b23,39181,0cd95eedddf8eb7bda9419f86315ad63868b304ea4ce9a9a70508aef3c0a27c1,1327223160,auxpow_parent_match,
namecoin,0000000000000c35348aef4e0850ac7e419b8166c8662b4a8b17e0fb2805ea1f,39183,4f42638a5b4735c7ded2d9461b185f9d2435dc7eb102e194d74c7edc3d4bc81e,1327223394,auxpow_parent_match,
namecoin,000000000000034afab2feda8a0e28d3d194e9fcdd17d531795d2084a943374b,39216,fb27554e0c757fb730638b3e71abc53f3d71b08cd6eca628f522454bdf0da4c0,1327242304,auxpow_parent_match,
namecoin,0000000000000018feea6b268d1d77e29828dfaf68a1b0b7e7f132543c2231f9,39443,31fc80f17fa3f4499279f6466f2bc9dcc928353c4656d9a5f4e4b281aff10af3,1327383326,auxpow_parent_match,
namecoin,0000000000000405ceb934ec090b40a5cbac7b67b245704158de9660f36cd2fb,39455,85d76a95ab0bd12069718817b6a1652212e18f203847cd4a735dcb828497d01e,1327391859,auxpow_parent_match,
namecoin,000000000000071ff141db2d0d83f7c524bf997b2b74ca5ee13c251cd8b50fc0,39530,526cb667b4a719df4b6ad9d0487b4451b362f81c9c29f58ed705b3662a3473b1,1327435660,auxpow_parent_match,
namecoin,0000000000000003e9e2c076744ce83e81721cccf69eda801eb1ec78a0c903e7,39557,f73d6a64d61709bd5e94068d0d52b67ed95537ab26937c90c00d5634ae8b2186,1327452632,auxpow_parent_match,
namecoin,0000000000000bf5c0c08832575e202dae3655eb337dea63eff822b62730d815,39577,65abc47fab0fb7bdaf3a2c8fcb19dcd1f580deb65aba30906e9cc9729159b3de,1327467596,auxpow_parent_match,
namecoin,000000000000079ebc21cca8725d097815813ecb97fcae97de98392d23815ec2,39764,f32567e46d297bed4d8f3f98f97a10b7272e6689d33c5700431cfc371590e1cb,1327579679,auxpow_parent_match,
namecoin,00000000000008b11727a2ffa8ebfcab9c843bb28518a5a5f01ac1a03393ec22,39897,b108c12a19ef597210e268b442b07d1dda5ed374cbefd9d32564f1d9b1a232ef,1327668012,auxpow_parent_match,
namecoin,00000000000006a411fe14cd5967d2155c8e787b6dcd1cff426be94229c4a4f2,39916,cd89df0874b14f8e330f93f0dce3189bb5bb330f0d9bb61da6735d13d3673346,1327682711,auxpow_parent_match,
namecoin,000000000000016f30b37a407e1861a54bba3f6617da453f8144c61de90a242a,39939,bcf8f1cbebce227a0eaaa7bf79c24d638e4ad0daba87c33d2fa2c496ca02889b,1327693465,auxpow_parent_match,
namecoin,00000000000001ed4ce670fcce22309805dcfa6b6166e036d5f201cfee026854,39963,8972b72b6ca253745601a8f96a95f417a9eceba26c584348c6553e6bae4f9814,1327709099,auxpow_parent_match,
namecoin,00000000000004b314be32898e5abf5aa928da89c8802e051b91c200d253c870,40104,5eddd6a99f9f5285b5844e49158188079eca1ef1e0d3e6fbd373c03546a4ce41,1327778625,auxpow_parent_match,
namecoin,000000000000048dec3e4a1f8f8ab8f22c6fd0fd1f5ca36898961b06b70eae0b,40106,05328256b11e286b469b793c12acaedbf0432795a9188132afad14d1ad62f138,1327780438,auxpow_parent_match,
namecoin,00000000000009d50afb1f523e5e93bc172f79a1ff8594b4430b7cde4d1bc861,40242,269ad679225329dcb213270eea9ee4d77d8c24faf9d462b6a3e25dd5ab3fe05c,1327855517,auxpow_parent_match,
